/home/ubuntu/vllm023-venv/lib/python3.10/site-packages/torch/profiler/profiler.py:224: UserWarning: Warning: Profiler clears events at the end of each cycle.Only events from the current cycle will be reported.To keep events across cycles, set acc_events=True.
  _warn_once(
activation-prefill-m1 {'direct': {'relative_l2': 0.015310639515519142, 'passed': True}, 'dequant': {'relative_l2': 0.01555376686155796, 'passed': True}}
activation-prefill-m8 {'direct': {'relative_l2': 0.01835680939257145, 'passed': True}, 'dequant': {'relative_l2': 0.018572047352790833, 'passed': True}}
activation-prefill-m64 {'direct': {'relative_l2': 0.01844736747443676, 'passed': True}, 'dequant': {'relative_l2': 0.018659619614481926, 'passed': True}}
activation-prefill-m512 {'direct': {'relative_l2': 0.018606655299663544, 'passed': True}, 'dequant': {'relative_l2': 0.018771331757307053, 'passed': True}}
activation-decode-m1 {'direct': {'relative_l2': 0.019211122766137123, 'passed': True}, 'dequant': {'relative_l2': 0.019349444657564163, 'passed': True}}
activation-decode-m8 {'direct': {'relative_l2': 0.018480494618415833, 'passed': True}, 'dequant': {'relative_l2': 0.018667856231331825, 'passed': True}}
both-prefill-m1 {'direct': {'relative_l2': 0.014401396736502647, 'passed': True}, 'dequant': {'relative_l2': 0.014597108587622643, 'passed': True}}
both-prefill-m8 {'direct': {'relative_l2': 0.017295649275183678, 'passed': True}, 'dequant': {'relative_l2': 0.017553864046931267, 'passed': True}}
both-prefill-m64 {'direct': {'relative_l2': 0.017475197091698647, 'passed': True}, 'dequant': {'relative_l2': 0.017705919221043587, 'passed': True}}
both-prefill-m512 {'direct': {'relative_l2': 0.01765240542590618, 'passed': True}, 'dequant': {'relative_l2': 0.017833523452281952, 'passed': True}}
both-decode-m1 {'direct': {'relative_l2': 0.018273163586854935, 'passed': True}, 'dequant': {'relative_l2': 0.018529921770095825, 'passed': True}}
both-decode-m8 {'direct': {'relative_l2': 0.017467055469751358, 'passed': True}, 'dequant': {'relative_l2': 0.017737656831741333, 'passed': True}}
