time="2026-09-14T18:55:07.622802516Z" level=info msg="Starting up"
time="2026-09-14T18:55:07.623653922Z" level=warning msg="Running with experimental features enabled"
time="2026-09-14T18:55:07.623840422Z" level=debug msg="Listener created for HTTP on unix (/run/book1102-iso2.sock)"
time="2026-09-14T18:55:07.623972734Z" level=info msg="OTEL tracing is not configured, using no-op tracer provider"
time="2026-09-14T18:55:07.626528322Z" level=info msg="CDI directory does not exist, skipping: failed to monitor for changes: no such file or directory" dir=/etc/cdi
time="2026-09-14T18:55:07.626668672Z" level=info msg="detected 127.0.0.53 nameserver, assuming systemd-resolved, so using resolv.conf: /run/systemd/resolve/resolv.conf"
time="2026-09-14T18:55:07.640070385Z" level=debug msg="Golang's threads limit set to 1387350"
time="2026-09-14T18:55:07.640478708Z" level=info msg="Creating a containerd client" address=/run/containerd/containerd.sock timeout=1m0s
time="2026-09-14T18:55:07.640512049Z" level=debug msg="metrics API listening on /run/book1102-iso2/metrics.sock"
time="2026-09-14T18:55:07.640842253Z" level=debug msg="Using default logging driver json-file"
time="2026-09-14T18:55:07.640944034Z" level=debug msg="No quota support for local volumes in /home/ubuntu/ai-infra-book-experiments/ch11/11-02/docker-lifecycle/isolated-daemon/attempt2/data/volumes: Filesystem does not support, or has not enabled quotas"
time="2026-09-14T18:55:07.641595806Z" level=debug msg="processing event stream" module=libcontainerd namespace=plugins.moby
time="2026-09-14T18:55:07.724644264Z" level=debug msg="[graphdriver] priority list: [overlay2 fuse-overlayfs btrfs zfs vfs]"
time="2026-09-14T18:55:07.752976498Z" level=debug msg="successfully detected metacopy status" storage-driver=overlay2 usingMetacopy=false
time="2026-09-14T18:55:07.759847274Z" level=debug msg="backingFs=extfs, projectQuotaSupported=false, usingMetacopy=false, indexOff=\"index=off,\", userxattr=\"\"" storage-driver=overlay2
time="2026-09-14T18:55:07.759887289Z" level=debug msg="Initialized graph driver overlay2"
time="2026-09-14T18:55:07.767273121Z" level=debug msg="Max Concurrent Downloads: 3"
time="2026-09-14T18:55:07.767300739Z" level=debug msg="Max Concurrent Uploads: 5"
time="2026-09-14T18:55:07.767306895Z" level=debug msg="Max Download Attempts: 5"
time="2026-09-14T18:55:07.767335454Z" level=info msg="Loading containers: start."
time="2026-09-14T18:55:07.767375648Z" level=debug msg="Option DefaultDriver: bridge"
time="2026-09-14T18:55:07.767382359Z" level=debug msg="Option DefaultNetwork: bridge"
time="2026-09-14T18:55:07.767387268Z" level=debug msg="Network Control Plane MTU: 1500"
time="2026-09-14T18:55:07.768010359Z" level=debug msg="processing event stream" module=libcontainerd namespace=book1102
time="2026-09-14T18:55:07.771629028Z" level=debug msg="Modules already loaded" modules="[nf_conntrack nf_conntrack_netlink]"
time="2026-09-14T18:55:07.979373557Z" level=info msg="Loading containers: done."
time="2026-09-14T18:55:08.003390586Z" level=info msg="Docker daemon" commit=89c5e8f containerd-snapshotter=false storage-driver=overlay2 version=28.5.2
time="2026-09-14T18:55:08.003540340Z" level=info msg="Initializing buildkit"
time="2026-09-14T18:55:08.082346027Z" level=info msg="Completed buildkit initialization"
time="2026-09-14T18:55:08.082638632Z" level=debug msg="Registering routers"
time="2026-09-14T18:55:08.082674799Z" level=debug msg="Registering route" method=GET path="/containers/{name:.*}/checkpoints"
time="2026-09-14T18:55:08.082751637Z" level=debug msg="Registering route" method=POST path="/containers/{name:.*}/checkpoints"
time="2026-09-14T18:55:08.082785619Z" level=debug msg="Registering route" method=DELETE path="/containers/{name}/checkpoints/{checkpoint}"
time="2026-09-14T18:55:08.082838959Z" level=debug msg="Registering route" method=HEAD path="/containers/{name:.*}/archive"
time="2026-09-14T18:55:08.082871782Z" level=debug msg="Registering route" method=GET path=/containers/json
time="2026-09-14T18:55:08.082896287Z" level=debug msg="Registering route" method=GET path="/containers/{name:.*}/export"
time="2026-09-14T18:55:08.082942680Z" level=debug msg="Registering route" method=GET path="/containers/{name:.*}/changes"
time="2026-09-14T18:55:08.082976248Z" level=debug msg="Registering route" method=GET path="/containers/{name:.*}/json"
time="2026-09-14T18:55:08.083002862Z" level=debug msg="Registering route" method=GET path="/containers/{name:.*}/top"
time="2026-09-14T18:55:08.083027541Z" level=debug msg="Registering route" method=GET path="/containers/{name:.*}/logs"
time="2026-09-14T18:55:08.083055332Z" level=debug msg="Registering route" method=GET path="/containers/{name:.*}/stats"
