0 {'trial': -1, 'protocol': 'h1', 'policy': 'uninterrupted', 'warmup': True} True
1 {'trial': -1, 'protocol': 'h3', 'policy': 'uninterrupted', 'warmup': True} True
2 {'trial': 0, 'protocol': 'h1', 'policy': 'uninterrupted', 'warmup': False} True
3 {'trial': 0, 'protocol': 'h3', 'policy': 'uninterrupted', 'warmup': False} True
4 {'trial': 0, 'protocol': 'h3', 'policy': 'resume', 'warmup': False} True
5 {'trial': 0, 'protocol': 'h1', 'policy': 'restart', 'warmup': False} True
6 {'trial': 0, 'protocol': 'h3', 'policy': 'restart', 'warmup': False} True
7 {'trial': 0, 'protocol': 'h1', 'policy': 'resume', 'warmup': False} True
8 {'trial': 1, 'protocol': 'h3', 'policy': 'restart', 'warmup': False} True
9 {'trial': 1, 'protocol': 'h3', 'policy': 'uninterrupted', 'warmup': False} True
10 {'trial': 1, 'protocol': 'h3', 'policy': 'resume', 'warmup': False} True
11 {'trial': 1, 'protocol': 'h1', 'policy': 'uninterrupted', 'warmup': False} True
12 {'trial': 1, 'protocol': 'h1', 'policy': 'restart', 'warmup': False} True
13 {'trial': 1, 'protocol': 'h1', 'policy': 'resume', 'warmup': False} True
14 {'trial': 2, 'protocol': 'h3', 'policy': 'restart', 'warmup': False} True
15 {'trial': 2, 'protocol': 'h1', 'policy': 'resume', 'warmup': False} True
16 {'trial': 2, 'protocol': 'h1', 'policy': 'restart', 'warmup': False} True
17 {'trial': 2, 'protocol': 'h3', 'policy': 'resume', 'warmup': False} True
18 {'trial': 2, 'protocol': 'h1', 'policy': 'uninterrupted', 'warmup': False} True
19 {'trial': 2, 'protocol': 'h3', 'policy': 'uninterrupted', 'warmup': False} True
